"SBiX#","Structure","NCATS ID","Scaffold","Ki_S100B","Column1","Ki_SE_S100B","Ki_S100A1","Column2","Ki_SE_S100A1","Specificity (Ki_S100B/Ki_S100A1)","SAR Class A","Xray - Crystal","Xray - Picture of Crystals","Xray - Data Collected","Xray - Structure completed","Xray - Resolution","Xray - R-factor (%)","Xray - R-Free (%)","Xray - PDB FILE","NMR - HSQC completed (YES or NO)","NMR - Quality of HSQC spectra with compound (Low, Medium, High)","logP(o/w)","Weight","N_heavy","4DBA","Comments"
5359,,"NCGC00481201-01","1/2/3 Site binder",0.649,"±",0.248,9.990,"±",9.8,15.4,"A","Yes (EA)","Yes","NO","NO",,,,"No",,,7.7,703.3,51.0,-5.8,
5360,,"NCGC00481202-01","1/2 Site binder","NOT ACTIVE","±",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,6.8,561.1,40.0,-3.9,
5361,,"NCGC00481363-01","1/2/3 Site binder","0.019","±",,0.156,"±",,8.2,"A","Yes (ZM, EA, KC, DB)","?","Yes (ZM, EA, KC, DB)","Yes",1.84,20.04,23.83,"No",,,6.5,704.3,51.0,-5.8,
5362,,"NCGC00481417-01","1/2/3 Site binder","1.269","±",,100.000,">",,78.8,"A","NO","NO","NO","NO",,,,"No",,,9.4,726.4,53.0,-6.7,
5363,,"NCGC00481511-01","1/2/3 Site binder","0.080","±",,0.780,"±",,9.8,"A","Yes (ZM, EA, KC, DB)","?","Yes (ZM, EA, KC, DB)","Yes",1.83,20.16,23.25,"No",,,6.2,704.3,51.0,-5.4,
5364,,"NCGC00415008-01","1/2/3 Site binder",0.901,"±",0.873,2.345,"±",1.5,2.6,"A","NO","NO","NO","NO",,,,"No",,,7.2,719.3,52.0,-5.9,
5365,,"NCGC00415007-01","1/2/3 Site binder",0.307,"±",0.216,5.303,"±",3.9,17.3,"A","Yes (EA)","Yes","NO","NO",,,,"No",,,7.4,719.3,52.0,-6.3,
5366,,"NCGC00415012-01","1/2/3 Site binder",0.412,"±",0.201,2.205,"±",1.7,5.4,"A","Yes (EA)","Yes","NO","NO",,,,"No",,,8.0,719.3,52.0,-6.1,
5367,,"NCGC00415047-01","1/2/3 Site binder",0.955,"±",0.37,5.073,"±",3.5,5.3,"A","Yes (EA)","Yes","NO","NO",,,,"No",,,6.6,756.4,55.0,-6.4,
5368,,"NCGC00356808-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,4.9,472.7,35.0,-3.1,
5369,,"NCGC00482471-01","1/2/3 Site binder",0.018,"±",0.0055,100.000,">",,5524.9,"A","Yes (EA)","Yes","NO","NO",,,,"No",,,8.3,703.3,51.0,-5.7,"Crystals harvested, awaiting collection"
5370,,"NCGC00482472-01","1/2/3 Site binder",0.037,"±",0.001,100.000,">",,2702.7,"A","Yes (EA)","Yes","NO","NO",,,,"No",,,7.5,703.3,51.0,-5.5,"Trays set"
5371,,"NCGC00484037-01","1/2 Site binder",43.507,"±",6.42,100.000,">",,2.3,"A","NO","NO","NO","NO",,,,"No",,,6.7,570.0,36.0,-4.1,
5372,,"NCGC00420905-01","1/2 Site binder",5.027,"±",3.157,15.260,"±",8.35,3.0,"A","?","?","?","?",,,,"?",,,,,,,
5373,,"NCGC00483120-01","1/2/3 Site binder",0.103,"±",0.025,100.000,">",,970.9,"A","Yes (EA)","NO","NO","NO",,,,"No",,,,,,,
5374,,"NCGC00420798-01","1/2 Site binder",3.298,"±",1.38,7.770,"±",4.67,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,,,,,
5375,,"NCGC00484037-01","1/2 Site binder",,"±",,,"±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,,,,,
5376,,"NCGC00488204-01","1/2/3 Site binder",,"±",,,"±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,,,,,
